Generation ID,Maximum Fitness,Minimum Fitness,Average Fitness,Champion Complexity,Maximum Complexity,Minimum Complexity,Average Complexity,Number of Species
639,14531,744,7340,275,358,241,301,26
640,14531,853,7145,275,354,241,300,26
641,14531,53,6841,275,354,241,301,25
642,14531,912,6869,275,357,241,300,25
643,14531,636,7116,275,358,241,300,25
644,14531,972,6923,275,358,241,301,25
645,14531,345,6956,275,354,241,300,26
646,14531,665,6879,275,359,241,301,27
647,14531,967,7127,275,357,241,300,26
648,14531,942,7146,275,355,241,300,26
649,14531,972,7219,275,353,241,300,24
650,14531,776,7207,275,357,241,300,25
